"player","id","session_start","duration_minutes","last_state","level","name"
player6,1885,"2024-04-23 12:28:57",20,retro,12,A Simple Drill
player11,1886,"2024-04-23 12:33:23",7,completed,1,Welcome Party
player11,1887,"2024-04-23 12:43:11",21,retro,3,Too Good To Be True V2
player11,1894,"2024-04-24 08:32:26",18,retro,7,Rumours
player11,1895,"2024-04-24 09:08:05",28,aborted,16,Radio Silence
player11,1896,"2024-04-24 09:47:09",21,retro,14,Missing Delivery V2
player6,1900,"2024-04-24 11:37:42",14,retro,7,Rumours
player6,1901,"2024-04-24 12:03:14",19,retro,16,Radio Silence
player6,1903,"2024-04-24 13:47:52",21,retro,14,Missing Delivery V2
player11,1904,"2024-04-25 06:18:52",245,aborted,7,Rumours
player1,4227,"2025-05-14 10:08:19",27,retro,3,Too Good To Be True V2
player1,4231,"2025-05-14 10:53:29",15,aborted,27,First day blues
player1,4361,"2025-05-27 14:05:47",25,retro,5,Bezs Beatles Day! V2
player1,4362,"2025-05-27 14:45:52",13,retro,27,First day blues
player6,4388,"2025-05-29 11:51:53",19,retro,5,Bezs Beatles Day! V2
player7,4405,"2025-05-30 15:45:09",9,aborted,3,Too Good To Be True V2
player7,4406,"2025-05-30 15:55:26",28,retro,3,Too Good To Be True V2
player6,4488,"2025-06-05 11:46:31",17,retro,6,The Big Investor
player7,4505,"2025-06-06 15:22:55",26,retro,5,Bezs Beatles Day! V2
player6,4568,"2025-06-12 11:46:08",21,retro,4,Roblox
player1,4604,"2025-06-16 13:04:13",23,retro,6,The Big Investor
player7,4662,"2025-06-20 15:25:31",24,retro,6,The Big Investor
player1,4693,"2025-06-24 13:02:38",19,retro,7,Rumours
player6,4726,"2025-06-26 11:46:24",18,retro,4,Roblox
player3,4738,"2025-06-27 09:19:49",23,retro,3,Too Good To Be True V2
player7,4746,"2025-06-27 15:22:25",18,retro,7,Rumours
player8,4760,"2025-06-30 15:16:15",26,retro,3,Too Good To Be True V2
player11,4773,"2025-07-01 09:32:59",15,delay_cleanup,27,First day blues
player3,4797,"2025-07-02 11:08:10",20,retro,6,The Big Investor
player1,4803,"2025-07-02 13:08:45",20,retro,14,Missing Delivery V2
player6,4821,"2025-07-03 11:46:51",21,retro,17,Version confusion
player7,4845,"2025-07-04 15:20:14",21,retro,14,Missing Delivery V2
player11,4870,"2025-07-08 09:04:30",20,retro,5,Bezs Beatles Day! V2
player1,4881,"2025-07-08 11:17:59",22,retro,16,Radio Silence
player9,4895,"2025-07-09 09:04:21",17,retro,5,Bezs Beatles Day! V2
player3,4920,"2025-07-10 09:13:36",20,retro,26,Discount Disaster
player7,4958,"2025-07-11 15:21:47",20,retro,16,Radio Silence
player3,4968,"2025-07-14 09:40:22",30,retro,26,Discount Disaster
player9,4993,"2025-07-15 13:04:32",19,retro,6,The Big Investor
player1,5084,"2025-07-21 13:06:46",26,retro,4,Roblox
player2,5102,"2025-07-22 13:25:37",22,retro,29,Too Good To Be True
player11,5114,"2025-07-23 09:02:30",23,retro,6,The Big Investor
player3,5115,"2025-07-23 09:09:11",19,retro,14,Missing Delivery V2
player9,5142,"2025-07-24 13:05:33",9,retro,7,Rumours
player2,5191,"2025-07-29 12:41:44",29,retro,5,Bezs Beatles Day! V2
player4,5222,"2025-07-31 09:26:04",17,retro,29,Too Good To Be True
player9,5240,"2025-08-01 13:02:18",21,retro,14,Missing Delivery V2
player7,5243,"2025-08-01 15:24:34",24,retro,4,Roblox
player15,5259,"2025-08-04 21:38:59",11,retro,27,First day blues
player9,5268,"2025-08-05 13:03:27",22,retro,16,Radio Silence
player15,5270,"2025-08-05 14:12:02",20,retro,29,Too Good To Be True
player5,5271,"2025-08-05 14:14:46",27,retro,29,Too Good To Be True
player8,5272,"2025-08-05 16:06:34",25,retro,5,Bezs Beatles Day! V2
player11,5282,"2025-08-06 11:06:53",17,retro,7,Rumours
player14,5287,"2025-08-06 15:08:32",25,retro,29,Too Good To Be True
player4,5292,"2025-08-07 09:06:26",21,retro,5,Bezs Beatles Day! V2
player6,5299,"2025-08-07 11:51:00",20,retro,8,The Chain
player14,5334,"2025-08-12 09:02:52",26,retro,5,Bezs Beatles Day! V2
player11,5338,"2025-08-12 11:01:54",19,retro,14,Missing Delivery V2
player9,5345,"2025-08-12 13:04:03",21,retro,4,Roblox
